Country,Continent,Category,Bucket,uniqueID,Freq
Afghanistan,Asia,Population,1,AsiaPopulation1,39
Albania,Europe,Population,1,EuropePopulation1,45
Algeria,Africa,Population,1,AfricaPopulation1,53
Andorra,Europe,Population,1,EuropePopulation1,45
Angola,Africa,Population,1,AfricaPopulation1,53
Antigua & Barbuda,North America,Population,1,North AmericaPopulation1,22
Argentina,South America,Population,1,South AmericaPopulation1,11
Armenia,Europe,Population,1,EuropePopulation1,45
Australia,Oceania,Population,1,OceaniaPopulation1,14
Austria,Europe,Population,1,EuropePopulation1,45
Azerbaijan,Europe,Population,1,EuropePopulation1,45
Bahamas,North America,Population,1,North AmericaPopulation1,22
Bahrain,Asia,Population,1,AsiaPopulation1,39
Bangladesh,Asia,Population,2,AsiaPopulation2,3
Barbados,North America,Population,1,North AmericaPopulation1,22
Belarus,Europe,Population,1,EuropePopulation1,45
Belgium,Europe,Population,1,EuropePopulation1,45
Belize,North America,Population,1,North AmericaPopulation1,22
Benin,Africa,Population,1,AfricaPopulation1,53
Bhutan,Asia,Population,1,AsiaPopulation1,39
Bolivia,South America,Population,1,South AmericaPopulation1,11
Bosnia and Herzegovina,Europe,Population,1,EuropePopulation1,45
Botswana,Africa,Population,1,AfricaPopulation1,53
Brazil,South America,Population,2,South AmericaPopulation2,1
Brunei,Asia,Population,1,AsiaPopulation1,39
Bulgaria,Europe,Population,1,EuropePopulation1,45
Burkina Faso,Africa,Population,1,AfricaPopulation1,53
Burundi,Africa,Population,1,AfricaPopulation1,53
Cabo Verde,Africa,Population,1,AfricaPopulation1,53
Cambodia,Asia,Population,1,AsiaPopulation1,39
Cameroon,Africa,Population,1,AfricaPopulation1,53
Canada,North America,Population,1,North AmericaPopulation1,22
Central African Republic,Africa,Population,1,AfricaPopulation1,53
Chad,Africa,Population,1,AfricaPopulation1,53
Chile,South America,Population,1,South AmericaPopulation1,11
China,UN Security Council,Population,10,UN Security CouncilPopulation10,1
Colombia,South America,Population,1,South AmericaPopulation1,11
Comoros,Africa,Population,1,AfricaPopulation1,53
Congo (Dem. Rep.),Africa,Population,1,AfricaPopulation1,53
Congo (Rep.),Africa,Population,1,AfricaPopulation1,53
Costa Rica,North America,Population,1,North AmericaPopulation1,22
Cote d'Ivoire,Africa,Population,1,AfricaPopulation1,53
Croatia,Europe,Population,1,EuropePopulation1,45
Cuba,North America,Population,1,North AmericaPopulation1,22
Cyprus,Europe,Population,1,EuropePopulation1,45
Czech Republic,Europe,Population,1,EuropePopulation1,45
Denmark,Europe,Population,1,EuropePopulation1,45
Djibouti,Africa,Population,1,AfricaPopulation1,53
Dominica,North America,Population,1,North AmericaPopulation1,22
Dominican Republic,North America,Population,1,North AmericaPopulation1,22
Ecuador,South America,Population,1,South AmericaPopulation1,11
Egypt,Africa,Population,1,AfricaPopulation1,53
El Salvador,North America,Population,1,North AmericaPopulation1,22
Equatorial Guinea,Africa,Population,1,AfricaPopulation1,53
Eritrea,Africa,Population,1,AfricaPopulation1,53
Estonia,Europe,Population,1,EuropePopulation1,45
