Country,Continent,Category,Bucket,uniqueID,Freq,adj_Bucket
Afghanistan,Asia,Population,1,AsiaPopulation1,39,1
Albania,Europe,Population,1,EuropePopulation1,45,1
Algeria,Africa,Population,1,AfricaPopulation1,53,1
Andorra,Europe,Population,1,EuropePopulation1,45,1
Angola,Africa,Population,1,AfricaPopulation1,53,1
Antigua & Barbuda,North America,Population,1,North AmericaPopulation1,22,1
Argentina,South America,Population,1,South AmericaPopulation1,11,1
Armenia,Europe,Population,1,EuropePopulation1,45,1
Australia,Oceania,Population,1,OceaniaPopulation1,14,1
Austria,Europe,Population,1,EuropePopulation1,45,1
Azerbaijan,Europe,Population,1,EuropePopulation1,45,1
Bahamas,North America,Population,1,North AmericaPopulation1,22,1
Bahrain,Asia,Population,1,AsiaPopulation1,39,1
Bangladesh,Asia,Population,2,AsiaPopulation2,3,2
Barbados,North America,Population,1,North AmericaPopulation1,22,1
Belarus,Europe,Population,1,EuropePopulation1,45,1
Belgium,Europe,Population,1,EuropePopulation1,45,1
Belize,North America,Population,1,North AmericaPopulation1,22,1
Benin,Africa,Population,1,AfricaPopulation1,53,1
Bhutan,Asia,Population,1,AsiaPopulation1,39,1
Bolivia,South America,Population,1,South AmericaPopulation1,11,1
Bosnia and Herzegovina,Europe,Population,1,EuropePopulation1,45,1
Botswana,Africa,Population,1,AfricaPopulation1,53,1
Brazil,South America,Population,2,South AmericaPopulation2,1,2
Brunei,Asia,Population,1,AsiaPopulation1,39,1
Bulgaria,Europe,Population,1,EuropePopulation1,45,1
Burkina Faso,Africa,Population,1,AfricaPopulation1,53,1
Burundi,Africa,Population,1,AfricaPopulation1,53,1
Cabo Verde,Africa,Population,1,AfricaPopulation1,53,1
Cambodia,Asia,Population,1,AsiaPopulation1,39,1
Cameroon,Africa,Population,1,AfricaPopulation1,53,1
Canada,North America,Population,1,North AmericaPopulation1,22,1
Central African Republic,Africa,Population,1,AfricaPopulation1,53,1
Chad,Africa,Population,1,AfricaPopulation1,53,1
Chile,South America,Population,1,South AmericaPopulation1,11,1
China,UN Security Council,Population,10,UN Security CouncilPopulation10,1,10
Colombia,South America,Population,1,South AmericaPopulation1,11,1
