Country,Contient,Category,Bucket
Afghanistan,Asia,Population,1
Albania,Europe,Population,1
Algeria,Africa,Population,1
Andorra,Europe,Population,1
Angola,Africa,Population,1
Antigua & Barbuda,North America,Population,1
Argentina,South America,Population,1
Armenia,Europe,Population,1
Australia,Oceania,Population,1
Austria,Europe,Population,1
Azerbaijan,Europe,Population,1
Bahamas,North America,Population,1
Bahrain,Asia,Population,1
Bangladesh,Asia,Population,2
Barbados,North America,Population,1
Belarus,Europe,Population,1
Belgium,Europe,Population,1
Belize,North America,Population,1
Benin,Africa,Population,1
Bhutan,Asia,Population,1
Bolivia,South America,Population,1
Bosnia and Herzegovina,Europe,Population,1
Botswana,Africa,Population,1
Brazil,South America,Population,2
Brunei,Asia,Population,1
Bulgaria,Europe,Population,1
Burkina Faso,Africa,Population,1
Burundi,Africa,Population,1
Cabo Verde,Africa,Population,1
Cambodia,Asia,Population,1
Cameroon,Africa,Population,1
Canada,North America,Population,1
Central African Republic,Africa,Population,1
Chad,Africa,Population,1
Chile,South America,Population,1
China,UN Security Council,Population,10
Colombia,South America,Population,1
Comoros,Africa,Population,1
Congo (Dem. Rep.),Africa,Population,1
Congo (Rep.),Africa,Population,1
Costa Rica,North America,Population,1
Cote d'Ivoire,Africa,Population,1
Croatia,Europe,Population,1
Cuba,North America,Population,1
Cyprus,Europe,Population,1
Czech Republic,Europe,Population,1
Denmark,Europe,Population,1
Djibouti,Africa,Population,1
Dominica,North America,Population,1
Dominican Republic,North America,Population,1
Ecuador,South America,Population,1
Egypt,Africa,Population,1
El Salvador,North America,Population,1
Equatorial Guinea,Africa,Population,1
Eritrea,Africa,Population,1
Estonia,Europe,Population,1
Eswatini,Africa,Population,1
Ethiopia,Africa,Population,1
Fiji,Oceania,Population,1
Finland,Europe,Population,1
France,UN Security Council,Population,1
Gabon,Africa,Population,1
"Gambia, The",Africa,Population,1
Georgia,Europe,Population,1
Germany,Europe,Population,1
Ghana,Africa,Population,1
Greece,Europe,Population,1
Grenada,North America,Population,1
Guatemala,North America,Population,1
Guinea,Africa,Population,1
Guinea-Bissau,Africa,Population,1
Guyana,South America,Population,1
Haiti,North America,Population,1
Honduras,North America,Population,1
Hungary,Europe,Population,1
Iceland,Europe,Population,1
India,Asia,Population,10
Indonesia,Asia,Population,2
Iran,Asia,Population,1
Iraq,Asia,Population,1
Ireland,Europe,Population,1
Israel,Asia,Population,1
Italy,Europe,Population,1
Jamaica,North America,Population,1
Japan,Asia,Population,1
Jordan,Asia,Population,1
Kazakhstan,Asia,Population,1
Kenya,Africa,Population,1
Kiribati,Oceania,Population,1
Korea (Dem. People’s Rep.),Asia,Population,1
Korea (Rep.),Asia,Population,1
Kosovo,Europe,Population,1
Kuwait,Asia,Population,1
Kyrgyzstan,Asia,Population,1
Laos,Asia,Population,1
Latvia,Europe,Population,1
Lebanon,Asia,Population,1
Lesotho,Africa,Population,1
Liberia,Africa,Population,1
Libya,Africa,Population,1
Liechtenstein,Europe,Population,1
Lithuania,Europe,Population,1
Luxembourg,Europe,Population,1
Macedonia,Europe,Population,1
Madagascar,Africa,Population,1
Malawi,Africa,Population,1
Malaysia,Asia,Population,1
Maldives,Asia,Population,1
Mali,Africa,Population,1
Malta,Europe,Population,1
Marshall Islands,Oceania,Population,1
Mauritania,Africa,Population,1
Mauritius,Africa,Population,1
Mexico,North America,Population,1
Micronesia,Oceania,Population,1
Moldova,Europe,Population,1
Monaco,Europe,Population,1
Mongolia,Asia,Population,1
Montenegro,Europe,Population,1
Morocco,Africa,Population,1
Mozambique,Africa,Population,1
Myanmar,Asia,Population,1
Namibia,Africa,Population,1
Nauru,Oceania,Population,1
Nepal,Asia,Population,1
Netherlands,Europe,Population,1
New Zealand,Oceania,Population,1
Nicaragua,North America,Population,1
Niger,Africa,Population,1
Nigeria,Africa,Population,2
Norway,Europe,Population,1
Oman,Asia,Population,1
Pakistan,Asia,Population,2
Palau,Oceania,Population,1
Panama,North America,Population,1
Papua New Guinea,Oceania,Population,1
Paraguay,South America,Population,1
Peru,South America,Population,1
Philippines,Asia,Population,1
Poland,Europe,Population,1
Portugal,Europe,Population,1
Qatar,Asia,Population,1
Romania,Europe,Population,1
Russia,UN Security Council,Population,2
Rwanda,Africa,Population,1
Saint Kitts and Nevis,North America,Population,1
Saint Lucia,North America,Population,1
Saint Vincent and the Grenadines,North America,Population,1
Samoa,Oceania,Population,1
San Marino,Europe,Population,1
Sao Tome and Principe,Africa,Population,1
Saudi Arabia,Asia,Population,1
Senegal,Africa,Population,1
Serbia,Europe,Population,1
Seychelles,Africa,Population,1
Sierra Leone,Africa,Population,1
Singapore,Asia,Population,1
Slovakia,Europe,Population,1
Slovenia,Europe,Population,1
Solomon Islands,Oceania,Population,1
Somalia,Africa,Population,1
South Africa,Africa,Population,1
South Sudan,Africa,Population,1
